CompanyCode,FiscalYear,AccountingDocument,AccountingDocumentItem,FiscalPeriod,Ledger,PostingDate,DocumentDate,AccountingDocumentType,AccountingDocumentTypeName,AccountingDocumentHeaderText,DocumentItemText,DocumentReferenceID,ReferenceDocumentType,IsReversal,IsReversed,GLAccount,GLAccountName,AmountInTransactionCurrency,TransactionCurrency,AmountInCompanyCodeCurrency,CompanyCodeCurrency,AmountInGlobalCurrency,GlobalCurrency,DebitCreditCode,PurchasingDocument,PurchasingDocumentItem,Material,Supplier,SupplierName,InvoiceReference,InvoiceReferenceFiscalYear,InvoiceReceiptDate,CostCenter,CostCenterName,ProfitCenter
1010,2026,0100000001,001,004,,2026-04-10,2026-04-10,SA,G/L Account Document,Office rent Apr 2026 - headquarters,Rent - HQ Apr 2026,ACC-APR-001,BKPF,false,false,22000000,Accrued expenses - rent,5000.00,EUR,5000.00,EUR,5400.00,USD,H,4500000001,10,,V-100,Pinegate Realty Partners,,0,,CC-1000,Production Operations,PC-100
1010,2026,0100000002,001,004,,2026-04-15,2026-04-15,SA,G/L Account Document,Q2 digital marketing campaign - Apr 2026,Prof svcs - Brightside mktg Apr,ACC-APR-002,BKPF,false,false,22000000,Accrued expenses - professional services,12500.00,USD,11625.00,EUR,12500.00,USD,H,4500000002,20,,V-200,Brightside Marketing Services LLC,,0,,CC-2000,Marketing,PC-200
1010,2026,0100000003,001,004,,2026-04-16,2026-04-15,SA,G/L Account Document,Q2 digital marketing campaign - Apr 2026 (DUP),Prof svcs - Brightside mktg Apr,ACC-APR-002-DUP,BKPF,false,false,22000000,Accrued expenses - professional services,12500.00,USD,11625.00,EUR,12500.00,USD,H,4500000002,20,,V-200,Brightside Marketing Services LLC,,0,,CC-2000,Marketing,PC-200
1010,2026,0100000004,001,004,,2026-04-20,2026-04-20,SA,G/L Account Document,Internet & communications - IT dept Apr 2026,Internet charges Apr - IT,ACC-APR-004,BKPF,false,false,22000000,Accrued expenses - communications / internet,750.00,EUR,750.00,EUR,810.00,USD,H,,0,,V-300,Fiberline Telecom Ltd,,0,,CC-3000,IT Services,PC-300
1010,2026,0100000005,001,004,,2026-04-22,2026-04-22,SA,G/L Account Document,Travel - Delta consulting engagement (ongoing),Travel & subsistence - consulting,ACC-APR-005,BKPF,false,false,22000000,Accrued expenses - travel / consulting,3200.00,EUR,3200.00,EUR,3456.00,USD,H,4500000003,10,,V-400,Delta Consulting Partners,,0,,CC-1000,Production Operations,PC-100
1010,2026,0100000006,001,004,,2026-04-25,2026-04-25,SA,G/L Account Document,SaaS platform licence accrual - Apr 2026,Nexus Cloud SaaS - Apr 2026,ACC-APR-006,BKPF,false,false,22000000,Accrued expenses - software licences,1500.00,USD,1500.00,USD,1500.00,USD,H,4500000004,10,,V-500,Nexus Cloud Solutions AG,,0,,CC-3000,IT Services,PC-300
1010,2026,0100000007,001,004,,2026-04-28,2026-04-28,SA,G/L Account Document,Freight & warehousing - Apr 2026,Apex Logistics freight Apr,ACC-APR-007,BKPF,false,false,22000000,Accrued expenses - logistics,8750.00,EUR,8750.00,EUR,9450.00,USD,H,4500000005,10,,V-600,Apex Logistics GmbH,,0,,CC-4000,Supply Chain,PC-400
1010,2026,0100000008,001,004,,2026-04-30,2026-04-30,SA,G/L Account Document,Plant maintenance contract - stale PO accrual,Meridian Engineering maintenance Apr,ACC-APR-008,BKPF,false,false,22000000,Accrued expenses - maintenance,22000.00,EUR,22000.00,EUR,23760.00,USD,H,4500000006,10,,V-700,Meridian Engineering Ltd,,0,,CC-1000,Production Operations,PC-100
1010,2026,0100000009,001,004,,2026-04-30,2026-04-30,SA,G/L Account Document,Temp labour accrual - stale PO (Q4 2025),Orion Staffing temp labour Apr,ACC-APR-009,BKPF,false,false,22000000,Accrued expenses - temporary labour,22500.00,EUR,22500.00,EUR,24300.00,USD,H,4500000007,10,,V-800,Orion Staffing Solutions,,0,,CC-1000,Production Operations,PC-100
1010,2026,0100000010,001,005,,2026-05-05,2026-05-05,SA,G/L Account Document,Data analytics consulting - May 2026,Vertex Analytics consulting May,ACC-MAY-010,BKPF,false,false,22000000,Accrued expenses - professional services,3000.00,USD,3000.00,USD,3000.00,USD,H,4500000008,10,,V-900,Vertex Analytics Inc,,0,,CC-3000,IT Services,PC-300
1010,2026,0100000011,001,005,,2026-05-08,2026-05-08,SA,G/L Account Document,Office rent May 2026 - headquarters,Rent - HQ May 2026,ACC-MAY-011,BKPF,false,false,22000000,Accrued expenses - rent,5000.00,EUR,5000.00,EUR,5400.00,USD,H,4500000001,10,,V-100,Pinegate Realty Partners,,0,,CC-1000,Production Operations,PC-100
1010,2026,0100000012,001,005,,2026-05-10,2026-05-10,SA,G/L Account Document,Electricity & utilities - May 2026,Utilities May - HQ,ACC-MAY-012,BKPF,false,false,22000000,Accrued expenses - utilities,2200.00,EUR,2200.00,EUR,2376.00,USD,H,,0,,V-301,Stadtwerke Frankfurt GmbH,,0,,CC-1000,Production Operations,PC-100
1010,2026,0100000013,001,005,,2026-05-12,2026-05-12,SA,G/L Account Document,Q2 digital marketing campaign - May 2026 (DUP2),Prof svcs - Brightside mktg May,ACC-MAY-013,BKPF,false,false,22000000,Accrued expenses - professional services,12500.00,USD,11625.00,EUR,12500.00,USD,H,4500000002,20,,V-200,Brightside Marketing Services LLC,,0,,CC-2000,Marketing,PC-200
1010,2026,0100000014,001,005,,2026-05-15,2026-05-15,SA,G/L Account Document,SaaS platform licence accrual - May 2026,Nexus Cloud SaaS - May 2026,ACC-MAY-014,BKPF,false,false,22000000,Accrued expenses - software licences,1500.00,USD,1500.00,USD,1500.00,USD,H,4500000004,10,,V-500,Nexus Cloud Solutions AG,,0,,CC-3000,IT Services,PC-300
1010,2026,0100000015,001,005,,2026-05-18,2026-05-18,SA,G/L Account Document,Reversal - duplicate marketing accrual Apr,REVERSAL - Prof svcs Brightside Apr DUP,ACC-APR-002-REV,BKPF,true,false,22000000,Accrued expenses - professional services,-12500.00,USD,-11625.00,EUR,-12500.00,USD,S,4500000002,20,,V-200,Brightside Marketing Services LLC,,0,,CC-2000,Marketing,PC-200
